,AgentName,Belief_1,Belief_2,Belief_3,Belief_4,Belief_5,Belief_6,Trend,Choice_Strategy,Strength_Beliefs
0,Increasing_0_0,3.2762297468690837,-1.1260686710069356,-3.085118242650413,-1.1103788966153083,3.2950937994383778,1.2347231526651776,Increasing,100% Positive Test,2.1879354182075494
1,Increasing_0_1,5.012078683600719,2.284992427635086,0.23383232456706637,-1.818272156124398,4.098558261645547,-2.3376970482984643,Increasing,100% Positive Test,2.63090515031188
2,Increasing_0_2,-4.289201878348203,-0.513741773152023,0.31118433229872977,1.5909729430737785,-4.291827751145473,-1.137679943117637,Increasing,100% Positive Test,2.0224347701893075
3,Increasing_0_3,5.440803386041642,2.1090293074346147,-1.0396685995226855,-1.7760050796368534,3.6826310890540053,-2.0352087129914813,Increasing,100% Positive Test,2.6805576957802137
4,Increasing_0_4,-2.646853725315447,1.054472838605513,1.7160717445694882,1.7548473366174204,-5.5648300184649315,-2.0551475690873757,Increasing,100% Positive Test,2.4653705387766958
5,Increasing_0_5,-0.1492950565853745,2.1451713185135795,2.2647520813013786,-1.9003361782995558,-0.09957721771483641,-5.854504077945473,Increasing,100% Positive Test,2.0689393217266994
6,Increasing_0_6,2.4743169862971977,-4.603588976133525,-1.8326039714727183,-1.0964953796463317,0.6451425797489596,3.1002850496205485,Increasing,100% Positive Test,2.2920721571532137
7,Increasing_0_7,2.862732139995847,-5.693488445144946,-0.026569661720031057,1.1914502646797538,3.0773632656166003,0.20342840275176155,Increasing,100% Positive Test,2.17583869665149
8,Increasing_0_8,-2.9916783315238153,0.4498758990823186,0.9579488611091034,-0.7518998809458955,-0.5926421390708279,-5.146339962063135,Increasing,100% Positive Test,1.815064178965849
9,Increasing_0_9,3.366864798879313,-3.28944912931694,-3.4709102014880813,-1.6228595242825021,-1.879346689156454,1.6136318939059628,Increasing,100% Positive Test,2.540510372838209
10,Increasing_0_10,-3.151695291082087,1.1636098977558857,0.5144533682171287,2.232896321417404,2.2698974007573893,2.8846921577762283,Increasing,100% Positive Test,2.036207406167687
11,Increasing_0_11,2.3239348047642423,1.3792065155096778,-4.93831745503643,-1.925374352778355,3.4206498639546328,-1.423828607052657,Increasing,100% Positive Test,2.568551933182666
12,Increasing_0_12,4.5254937197576455,-0.474139125242535,-0.37863115472332465,1.1581904329788892,3.9919036894048414,-0.03493743819142259,Increasing,100% Positive Test,1.7605492600497763
13,Increasing_0_13,5.012078683600719,2.284992427635086,0.23383232456706637,-1.818272156124398,4.098558261645547,-2.3376970482984643,Increasing,100% Positive Test,2.63090515031188
14,Increasing_0_14,2.445458884197713,-3.7035474193194604,-2.067535087204753,-0.17543435882283026,0.48916618537391654,2.9168500469259597,Increasing,100% Positive Test,1.9663319969741055
15,Increasing_0_15,2.462308880913712,-4.919284936953054,-2.3723967459150335,0.4846576153117149,0.9231389028593701,2.422557556362825,Increasing,100% Positive Test,2.2640574397192847
16,Increasing_0_16,2.0018367301825086,-1.7842469235305032,4.756770974435848,-0.740009047245955,2.3039993391738403,0.48653680330794374,Increasing,100% Positive Test,2.0122333029794333
17,Increasing_0_17,-0.28879535200081397,-1.478566024414049,1.3578442328412785,-1.0687740111095918,-0.7514658386782063,-5.9768536250209365,Increasing,100% Positive Test,1.8203831806774795
18,Increasing_0_18,5.317374691911999,-1.9575938264183104,-2.968621528600817,1.5792937048513085,1.3244070299350883,-0.5398350795520864,Increasing,100% Positive Test,2.2811876435449348
19,Increasing_0_19,2.4743169862971977,-4.603588976133525,-1.8326039714727183,-1.0964953796463317,0.6451425797489596,3.1002850496205485,Increasing,100% Positive Test,2.2920721571532137
20,Increasing_0_20,-0.10562287549494837,-0.7934600456000688,0.30358133004593946,2.638409387107057,3.078600096477638,4.363369772357452,Increasing,100% Positive Test,1.8805072511805172
21,Increasing_0_21,2.6063839231746644,-0.047148878490085144,-5.418609819941501,-0.5269311176514676,3.1230966186369455,-3.0794283216950666,Increasing,100% Positive Test,2.4669331132649552
22,Increasing_0_22,-3.66747903940626,2.946149286183788,1.261501181492898,0.8937722934533219,-4.813695479381082,0.10473210701778812,Increasing,100% Positive Test,2.28122156448919
23,Increasing_0_23,4.336065683108097,-1.7116072310084451,2.0551286223161496,0.20782786051148716,1.8113750103499364,-3.2835660319234887,Increasing,100% Positive Test,2.2342617398696007
24,Increasing_0_24,1.9294493174575504,-5.133051827102421,-2.2852433239267507,0.11355969037255019,0.7104469656791592,3.3599453272484685,Increasing,100% Positive Test,2.2552827419644834
25,Increasing_0_25,4.516729570333674,-3.391021895563459,-1.7408483864365287,-1.4285201988566887,3.713117149322572,-2.4442922080176523,Increasing,100% Positive Test,2.8724215680884293
26,Increasing_0_26,-2.157511387991738,0.2540748922152808,2.8330764202778966,-0.804368158090606,-5.255162493851024,-0.23192463051564866,Increasing,100% Positive Test,1.9226863304903654
27,Increasing_0_27,-3.797539926303482,1.9091690615022425,1.1871002245785447,2.656585533007343,-4.106623466809945,-2.5572459262202063,Increasing,100% Positive Test,2.702377356403627
28,Increasing_0_28,2.0536008741444394,-5.164250787860333,1.9673231697684581,0.29143745481303107,1.0055173948264837,1.3039725397793447,Increasing,100% Positive Test,1.9643503701986818
29,Increasing_0_29,2.242832752206519,0.8886888367758858,-4.616110253956514,-1.796462662389487,3.9750332046182955,-1.1717135567500285,Increasing,100% Positive Test,2.4484735444494548
30,Increasing_0_30,2.391218140645663,3.2539129452559856,-1.739167958755158,-2.261484603021857,1.969797174942118,-1.4807478374492984,Increasing,100% Positive Test,2.1827214433450135
31,Increasing_0_31,1.6604796729009617,0.01983662790586299,-1.8966617192605622,-0.7240218766310672,2.9877403175141337,-3.992516082074928,Increasing,100% Positive Test,1.880209382714586
32,Increasing_0_32,3.334986234490983,-3.548377576723022,-2.313944790577925,-0.8145944141672754,-2.2959249173046583,2.6759668838301156,Increasing,100% Positive Test,2.4972991361823302
33,Increasing_0_33,-2.6356279808650966,0.3930982197775098,1.2225610906145417,2.602880219146255,0.818994515558048,4.959350906983442,Increasing,100% Positive Test,2.105418822157482
34,Increasing_0_34,1.9915501547916592,0.8600725276747208,-5.68627925410639,-1.8583495287243454,3.4544039719969253,-1.96277540831837,Increasing,100% Positive Test,2.635571807602068
35,Increasing_0_35,2.2342868265094102,1.3818422661203695,5.113180205870972,0.6374894919443173,1.4891781409485638,-1.9525643788938536,Increasing,100% Positive Test,2.1347568850479144
36,Increasing_0_36,3.1109127791042357,-2.0204228340234724,-2.4763321633584514,0.772814567474477,-2.114437884153937,2.2651811387908785,Increasing,100% Positive Test,2.1266835611509087
37,Increasing_0_37,0.665676915440335,0.372259298758687,4.349587227739987,-1.6213686008159702,3.8985335592206143,0.9910171222971548,Increasing,100% Positive Test,1.9830737873787914
38,Increasing_0_38,3.768856541218875,-2.4242625115691707,1.5903585503537017,-1.137364501389881,1.7577399134427094,-3.578785738993362,Increasing,100% Positive Test,2.3762279594946167
39,Increasing_0_39,-3.8460505248969397,2.2477514497351945,2.3110281603782306,0.8054430904377055,-5.111429956010549,-1.2534797480219027,Increasing,100% Positive Test,2.595863821580087
40,Increasing_0_40,2.3239348047642423,1.3792065155096778,-4.93831745503643,-1.925374352778355,3.4206498639546328,-1.423828607052657,Increasing,100% Positive Test,2.568551933182666
41,Increasing_0_41,4.364018394057362,1.905446431937167,-0.1159931396387025,-3.18600554939888,3.0137969465779055,-2.026101825126264,Increasing,100% Positive Test,2.4352270477893803
