,AgentName,Belief_1,Belief_2,Belief_3,Belief_4,Belief_5,Belief_6,Belief_7,Belief_8,Belief_9,Belief_10,Trend,Choice_Strategy,Strength_Beliefs
0,Increasing_0_0,0.5336289511797566,-4.090778016388193,-0.33733199380644546,-4.0884641508877975,2.6151376591790063,3.498504031634681,4.433690988684448,-0.9408616418094137,-1.6769209220194943,2.5607205335577654,Increasing,100% Positive Test,2.527307467179313
1,Increasing_0_1,-0.012213581351208425,2.433435905836197,-3.2666327481228317,-0.11665524964649762,-3.4984861275188273,-1.7402637137385173,-3.8566827218613087,3.1797245771146927,-4.468819818946425,-0.8135989567782907,Increasing,100% Positive Test,1.8446145543690136
2,Increasing_0_2,2.8135986108364794,-4.8249414884941775,1.595101692458413,-3.49043921830508,0.06942493734306965,2.8569607513200768,1.8644477427673747,-0.1969677078978616,-0.5875119151670974,2.0597312388916365,Increasing,100% Positive Test,2.6084111164595494
3,Increasing_0_3,-1.9419258677996953,-5.217780532489376,-0.9207736825405497,-2.7223441418928727,-1.2941587213508194,3.927129773472408,2.2101777814202843,-2.848115450687499,2.1861424616814373,0.38411784628527257,Increasing,100% Positive Test,2.67068545325762
4,Increasing_0_4,-3.7269522366807455,-2.6715105561520773,3.018472227749734,-2.3673453945390888,-0.29548370251030087,4.361618881416565,1.9152466052487924,-4.233282577019073,2.4183239399666414,0.040703041858078104,Increasing,100% Positive Test,2.740230499841419
5,Increasing_0_5,-1.6988984899287378,1.6120194496744589,0.5993429479504604,4.340446879349116,4.822061007499426,-3.294267144698749,-0.6423701787173368,-0.0023609517467313573,4.504169667578539,1.3582896598939558,Increasing,100% Positive Test,2.7278393198501583
6,Increasing_0_6,0.8362397706171167,-4.11998220480964,-0.8115997757029167,-3.735230033055705,-1.8560221729012365,0.20464199410808442,1.928645058271697,-3.2547747117617347,0.5311975599459294,4.234797762121858,Increasing,100% Positive Test,1.9272859918657834
7,Increasing_0_7,-2.334067426765241,-0.09222935170989427,3.682460252700298,0.8760985883472622,0.7947125075450046,-5.173448585858697,-0.7211550516807079,0.8470178127454533,3.261256467092103,-0.6886523015538359,Increasing,100% Positive Test,2.1588361188210663
8,Increasing_0_8,4.325069755912278,-3.387812131529415,0.7926501740148026,1.1646828559555527,-1.9038533203629824,3.143936167474712,-1.8766744216749567,0.6100939671086789,-0.8993931240631621,1.9052605632034876,Increasing,100% Positive Test,2.4530007342082905
9,Increasing_0_9,1.23523371273062,-5.075369771484116,-1.5238216268194553,-4.885480146550095,0.4839064684879011,-0.4518834968731932,1.0299593939094942,-1.2501994555535436,0.4553634946399423,5.142093308174314,Increasing,100% Positive Test,2.2759492038242306
10,Increasing_0_10,0.182127782992922,-1.8652137073295558,0.5624300429803544,-3.455306915918261,1.0718776338835152,-0.09936048485337667,0.6139116837104466,-5.09583135010926,-2.253867349117142,0.092343692218946,Increasing,100% Positive Test,1.206052761326331
11,Increasing_0_11,-0.5252290623018867,3.5456684638783336,0.8478991232216584,3.14697673372949,1.9090005465001714,-3.507473827116132,-1.8544548111477568,2.000775564466152,3.5083682500855424,-0.8332838914195793,Increasing,100% Positive Test,2.2470412927912786
12,Increasing_0_12,-4.809001465927903,1.3539547066784057,4.845121807959629,1.8479895614216229,2.328575538733804,1.5430797909629228,-0.4277035782433632,-1.711312018434709,4.097375133126806,1.089648174798648,Increasing,100% Positive Test,2.787953811947381
13,Increasing_0_13,1.5715252020987647,1.5062328450816456,-5.3855724653001795,-2.366437110445407,-3.2794235759149157,5.076943171021783,-0.6397057465778009,-0.8822554555043021,-4.466193852718197,-0.506353484339841,Increasing,100% Positive Test,3.197689061643782
14,Increasing_0_14,0.2957667202885249,4.488745736915893,-3.586476144567265,-3.357901126978828,-1.8152499298506883,-1.3287859205269466,0.5628346846236532,4.680890197968175,-5.306202921764469,0.27940361570647415,Increasing,100% Positive Test,2.4788209298546913
15,Increasing_0_15,-4.858438015826512,4.781854347199648,-1.14603546429252,0.5988049218816014,0.6809129806520509,2.0531583885123026,-0.6898680168107135,5.1074152011531275,-0.09778369946533655,-1.902756184474091,Increasing,100% Positive Test,2.3532006863941057
16,Increasing_0_16,-0.6819457399629157,-1.7871123799011535,-0.611256283468008,1.105556210200308,0.41873504021234076,-1.9689718903850166,0.22150782061626145,-3.8563163198513424,3.1903789471754047,-2.4964588256636935,Increasing,100% Positive Test,1.0955962573549571
17,Increasing_0_17,0.6150618503136352,0.49224533060280407,-1.5116099527400029,0.2068426817233094,4.8108362850456565,0.39358921761995064,2.4700250375560504,-2.321729558998183,3.311991753739769,1.4547710893114998,Increasing,100% Positive Test,1.3383642196742265
18,Increasing_0_18,3.633875870672061,-4.701119862938397,-0.7777855174139534,-3.6689053614390623,-2.743130690281741,0.1991347366168606,2.7243291549435655,-0.27735500479162917,1.3153732038932093,4.5842645760437595,Increasing,100% Positive Test,2.620658673227012
